codeibge,mun,state,region,alcance_2002,alcance_2006,alcance_2010,dgdpH_1_2002,dgdpH_1_2006,dgdpH_1_2010,dgdpH_2_2002,dgdpH_2_2006,dgdpH_2_2010,dilma_vs_2010,dilma_vs_2010_2,distcap,fam_2002_cct,fam_2006_cct,fam_2010_cct,families_2002_ba,families_2002_be,fhc_vs_1998,gini_2000,hdi_2000,incgov_2002,incgov_2006,incgov_2010,lula_vs_1998,lula_vs_2002,lula_vs_2002_2,lula_vs_2006,lula_vs_2006_2,mayorpty_2000,mayorpty_2004,mayorpty_2008,nonwhite_2000,nonwhite_2010,pent_2000,pent_2010,pib_2002,pib_2006,pib_2009,poor_covered_2002,pop_2002,pop_2006,pop_2010,psdb_vs_1998,psdb_vs_2002,pt_vs_1998,pt_vs_2002,pt_vs_2006,pt_vs_2010,serra_vs_2002,serra_vs_2002_2,spentH_2002_cct,spentH_2006_cct,spentH_2010_cct,targetalcance_2006,targetbf_2006,tot_fam2002,valid_2002,valid_2002_2,valid_2006,valid_2006_2,valid_2010,valid_2010_2,valid_depfed_1998,valid_depfed_2002,valid_depfed_2006,valid_depfed_2010
1100106,GUAJARA MIRIM,RO,N,0.06985080410773106,0.2840354545886602,0.33810017768813333,0.1235495125890093,-0.08981693035894854,-0.16940065383475628,0.11646351507292337,-0.04744359710535272,5.135236682231103e-4,0.473212456463839,0.55998231751119,2.7452516409130197,721,3129,3686,66,655,0.4957,0.603,0.743,25,23,15,0.2334,0.4466,0.63565,0.52498,0.65891,25,23,15,70.42,79.54,10.62,14.91,160945.5094,202286.2765,236579,0.17438287424538412,39194,42082,41646,0.07300546448087432,0.15074423293601374,0.01493624772313297,0.21312933641700765,0.559324659,0.18800978792822187,0.12289,0.36435,0.07571533042142108,0.664023117512399,1.157698218316285,0.23996230217195,2643.48,10322,15786,15131,18852,18400,19524,18097,13725,16863,19368,19616
1100205,PORTO VELHO,RO,N,0.050575684641904636,0.1942331497687506,0.20115925618555974,0.07669819613128855,-0.055390553325888936,0.20506317608572977,0.04739715380278041,0.029463423916427266,0.12943555007897287,0.444136772490435,0.567144661564752,0,4665,20498,23769,435,4230,0.50007,0.619,0.763,13,15,45,0.3019,0.48778,0.66615,0.55862,0.68558,15,15,15,65.58,70.98,15.38,21.16,1779703.321,2244451.325,3190925,0.17683805818847773,347844,380974,426558,0.25205053266710664,0.2055748075306469,0.07856447000408535,0.12186802619881343,0.166844511,0.1480687307443612,0.13597,0.33385,0.054306169374697344,0.4901782508262821,0.6927069706815955,0.16320872028012412,17223.9,92238,164378,157383,191481,189616,216681,201885,127284,165351,185556,210328
1100122,JI PARANA,RO,N,0.0849638345388487,0.14687456479775765,0.2160124199095954,0.041788792191873515,-0.07646549025491875,-0.050747085031576364,-0.06872718735744482,0.004631127652284277,0.011760271714111611,0.331905341261545,0.419732750962393,3.18584973517017,2549,4844,7321,129,2420,0.71284,0.597,0.753,25,45,23,0.1981,0.44015,0.52630999999999994,0.41675,0.54424,12,25,25,50.06,60.55,17.71,22.44,518246.9813,587600.2933,676846,0.31473915369086386,108694,113453,116587,0.134046150548901,0.09318862275449102,0.12368728121353559,0.22410179640718564,0.216994228,0.19109354503483875,0.23767,0.47369,0.1092841078603554,0.32694314701114946,0.6458391587398252,0.19571035759301209,6454.63,30001,51866,49556,55069,53954,58357,54032,41993,53440,54748,58699
1100023,ARIQUEMES,RO,N,0.12686347587289132,0.1916439648428512,0.20919217743542065,0.00472002794594294,-0.033058902695648464,-0.05482129943973049,-0.02528287283542711,0.0057897765429204,0.014074994724867352,0.348419820522825,0.396946938376104,1.58861219438279,2587,4746,5385,150,2437,0.73783,0.596,0.752,25,45,23,0.1456,0.378,0.44589,0.43421,0.5505,11,15,15,47.69,64.56,17.79,22.14,376683.5292,436600.5943,502695,0.47619637353286787,78039,86924,90354,0.05319801746518763,0.05341649341649342,0.048288883644087795,0.08435204435204435,0.103938865,0.040779576020059265,0.33227,0.55411,0.13473368701348154,0.46183893118181873,0.6177272727272727,0.15372381850812203,3806.92,20392,34556,33591,40349,39437,43571,40877,21185,36075,40697,43870
1100049,CACOAL,RO,N,0.10612847649520059,0.2860708958153412,0.22539331560667167,0.08326675366282131,-0.08911151727306287,-0.09507110175665376,0.03763435285160184,0.012655222759101647,-0.0291369116278064,0.343564404634408,0.392550293378039,4.00102639346322,2156,6449,5226,143,2013,0.74017,0.563,0.755,25,45,23,0.184,0.45317,0.53403,0.43109,0.52884,15,15,13,46.84,58.21,17.61,20.32,406883.945,433650.4493,438914,0.3531259615864797,74381,76422,78601,0.09267741935483871,0.10856051100718604,0.062096774193548386,0.1750598836546139,0.213104812,0.10500972762645915,0.19976,0.46597,0.12838864354386387,0.6630378962308227,0.754977417590107,0.2219518018371673,5003.54,20315,33760,32414,38451,38390,41084,38176,31000,35068,37925,41120
1100189,PIMENTA BUENO,RO,N,0.12063034069470648,0.19732229826515996,0.22757362090418912,0.06251793594152774,-0.07814082616542975,0.12174031492134664,0.03363248491489899,0.003800962489769415,0.15081916169496007,0.369673553950389,0.411379225869672,4.38917989016349,1087,1802,2233,159,928,0.71814,0.595,0.754,15,45,45,0.1709,0.41292,0.49162,0.3406,0.45219,12,25,45,44.16,59.19,15.47,21.53,152781.8296,177312.6922,248040,0.4030685000491395,31656,31415,33754,0.13683274021352312,0.36479961371318204,0.03905693950177936,0.12071463061323032,0.214894625,0.3342440801457195,0.27019,0.50838,0.15136274462035476,0.4664771781071167,0.668961012028204,0.23850265159955436,2178.07,9011,16037,14865,17105,16440,17859,16328,11240,16568,16892,17568
1100304,VILHENA,RO,N,0.062391122007871475,0.1871226465269652,0.13584036646672004,-0.09579643883694308,-0.09544142126049684,-0.026685965621812753,-0.129440810581417,-0.018163556572667234,0.029178983862885623,0.348572409452423,0.409228418640183,6.02512308434893,967,3654,3071,43,924,0.61747,0.567,0.771,25,45,23,0.2149,0.48537,0.5907,0.38856,0.518,14,15,11,41.74,55.68,14.31,19.91,379392.1408,459268.3603,573588,0.26991616702518484,57074,65807,76187,0.2732798967131099,0.1851152807075978,0.059282371294851796,0.12112801154657489,0.067300467,0.05843500331689308,0.21433,0.4093,0.07931491408835081,0.4445441780394792,0.4375484006457795,0.14592237755861837,2849.47,15499,26454,25150,31267,31216,34954,32725,18589,27021,30609,34671
1100114,JARU,RO,N,0.16492870823579486,0.2903319583229615,0.28233480006917355,0.06688230647627676,-0.1343363121630544,-0.07516938981724385,-0.028191666101129255,0.006849836292021283,-0.038857202010436256,0.347692757009346,0.388762278978389,2.4283040689418103,2325,4733,4259,859,1466,0.7131,0.581,0.729,25,45,23,0.196,0.4211,0.50557,0.3158,0.40407,15,15,15,56.86,66.86,21.27,21.54,277348.0731,303511.9975,313998,0.45132777340611024,54352,56242,52043,0.07239540607054963,0.014630390143737166,0.08500820344544709,0.19224845995893225,0.131807419,0.16353232742911292,0.21106,0.49443,0.15052879356224938,0.6173192143395962,0.82631228022981,0.243381360904662,3967.61,14097,25443,23884,27517,27062,27392,25450,19504,27272,27874,27438
1100155,OURO PRETO DO OESTE,RO,N,0.06695559879709889,0.10840800294586965,0.23805645607653989,0.043143135110995844,-0.060213196382599435,0.009797301546718717,-0.03039615040569827,-0.01234598838493691,0.009425321742055608,0.375288846970054,0.417310183985488,2.81921988567977,757,1280,2618,NA,757,0.73962,0.6,0.727,15,45,45,0.1792,0.45583,0.51673,0.37413,0.4699,15,12,12,56.61,64.59,19.39,23.42,171968.2325,180830.9832,196466,0.20446330594283108,40841,40735,37941,0.1098821832171195,0.013516170254595498,0.17576340466458285,0.1988105770175956,0.375827084,0.1369513834175279,0.20532,0.48327,0.08559199264578611,0.20950815163500233,0.7232890540576158,0.24983555910150976,2949.87,11306,18985,17843,20223,19404,21205,19295,12477,20346,20403,21577
1100254,PRESIDENTE MEDICI,RO,N,0.12493051695386326,0.19637340496977837,0.316250728079215,0.00959636315704914,-0.01484373871955713,0.061416352343622166,0.010972315071654245,-0.003142821203982372,0.05815321686777249,0.420516304347826,0.479682305134836,3.4577761871873296,899,1462,2076,80,819,0.71591,0.582,0.707,25,45,23,0.1865,0.43995,0.52292,0.41716,0.51742,15,45,15,50.1,60.27,17.1,21.58,92464.16772,99763.77015,118722,0.30045096787923153,26065,25313,22319,0.1757141351322863,0.04269268887702981,0.2025930220301465,0.2785697949226195,0.260720841,0.1967614067639369,0.18429,0.47708,0.1627422425762312,0.42332251989868325,1.086167391012142,0.3149415715245131,2344.74,7196,12274,11499,11921,11679,11776,10828,9487,13117,11986,11857
