Data,Título,Link
21/09/2021 ," RR: Após encontro, lideranças Yanomami realizam protesto em Boa Vista",https://terrasindigenas.org.br/pt-br/noticia/213948
20/09/2021 , Governo Bolsonaro pagou R$ 75 mi a empresas ligadas a aeronaves suspeitas de garimpo em terra indígena,https://terrasindigenas.org.br/pt-br/noticia/213817
14/09/2021 , Operação de fiscalização da ANAC impede 66 aeronaves de voarem,https://terrasindigenas.org.br/pt-br/noticia/213751
13/09/2021 ," Sob Bolsonaro, Yanomami tem o maior índice de mortes por desnutrição infantil do país",https://terrasindigenas.org.br/pt-br/noticia/213663
09/09/2021 , Ibama embarga 59 pistas de pouso clandestinas que atendiam garimpo na Terra Indígena Yanomami,https://terrasindigenas.org.br/pt-br/noticia/213610
19/08/2021 ," Diante de violência contra Yanomami, deputada indígena recorre à ONU",https://terrasindigenas.org.br/pt-br/noticia/213229
15/08/2021 ," RR: Sob ataques, Yanomami denunciam invasão, assassinato, desvio de vacinas e ataque de pistoleiros",https://terrasindigenas.org.br/pt-br/noticia/213146
23/07/2021 , Organização Yanomami desmente Embaixada brasileira em carta a deputado que denunciou garimpo,https://terrasindigenas.org.br/pt-br/noticia/212730
19/07/2021 ," Obras de artistas Yanomami são exibidas em Xangai, na China",https://terrasindigenas.org.br/pt-br/noticia/212498
28/06/2021 , A comunidade yanomami refém de tiros e bombas de garimpeiros há mais de um mês,https://terrasindigenas.org.br/pt-br/noticia/212325
23/06/2021 , Illegal gold miners stalk Amazon as authorities look away,https://terrasindigenas.org.br/pt-br/noticia/212259
22/06/2021 , Mineração e garimpo disputam área maior do que a Bélgica dentro da Terra Indígena Yanomami,https://terrasindigenas.org.br/pt-br/noticia/212241
14/06/2021 , Governo autoriza uso da Força Nacional na Terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/212099
07/06/2021 , Operação desativa 7 garimpos ilegais em RR; território indígena tem 20 mil invasores,https://terrasindigenas.org.br/pt-br/noticia/211991
01/06/2021 ," Dias após ataque de Bolsonaro, base do ICMBio é assaltada em Roraima",https://terrasindigenas.org.br/pt-br/noticia/211934
27/05/2021 , Relembre conflitos recentes entre garimpeiros e indígenas na Terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211818
27/05/2021 , Bolsonaro inaugura ponte às margens de terra Yanomami e ignora crise que põe povo indígena na mira de garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/211849
27/05/2021 , Brazil aerial photos show miners' devastation of indigenous people's land,https://terrasindigenas.org.br/pt-br/noticia/212200
26/05/2021 , O garimpo ilegal em pauta: da ficção à realidade,https://terrasindigenas.org.br/pt-br/noticia/211800
25/05/2021 , Garimpo ilegal e devastação crescem na Terra Indígena Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211736
25/05/2021 , Garimpo ilegal degrada área igual a 200 campos de futebol na Terra Yanomami em três meses; Fotos,https://terrasindigenas.org.br/pt-br/noticia/211760
24/05/2021 , Barroso determina que União retire invasores de terras indígenas Yanomami e Munduruku,https://terrasindigenas.org.br/pt-br/noticia/211756
21/05/2021 , Brazil court orders illegal miners booted from Yanomami Indigenous Reserve,https://terrasindigenas.org.br/pt-br/noticia/211686
20/05/2021 , Urgência na Terra Indígena Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211662
20/05/2021 , Indígenas denunciam mais um ataque de garimpeiros em terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211701
19/05/2021 ," Metralhadora e gás: na pandemia, avanço do garimpo leva morte a ianomâmis",https://terrasindigenas.org.br/pt-br/noticia/211613
19/05/2021 , Indígenas vão ao STF para pedir 'urgência' na retirada de garimpeiros de terra Yanomami após conflitos,https://terrasindigenas.org.br/pt-br/noticia/211660
18/05/2021 ," Principal líder Yanomami cobra autoridades para fim de ataques a indígenas: 'a situação é grave, garimpeiros querem nos matar'",https://terrasindigenas.org.br/pt-br/noticia/211633
17/05/2021 , O ouro do crime na terra dos Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211555
17/05/2021 ," Alvos de ataques de garimpeiros há uma semana, índios Yanomami pedem socorro",https://terrasindigenas.org.br/pt-br/noticia/211568
17/05/2021 ," Desprotegidos, yanomamis agora são atacados com gás lacrimogêneo",https://terrasindigenas.org.br/pt-br/noticia/211569
17/05/2021 , Indígenas denunciam novo ataque de garimpeiros em Terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211590
15/05/2021 , Duas crianças Yanomami aparecem mortas depois de ataque de garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/211546
13/05/2021 , Yanomami: Justiça Federal manda governo manter forças de segurança de forma 'permanente' em aldeia atacada por garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/211630
12/05/2021 ," ""Tenho medo de um massacre"", diz yanomami após tiroteio",https://terrasindigenas.org.br/pt-br/noticia/211462
12/05/2021 ," Em Roraima, garimpeiros fazem novo ataque ao povo Yanomami e trocam tiros com policiais federais",https://terrasindigenas.org.br/pt-br/noticia/211468
12/05/2021 , Entidade pede ao STF retirada de invasores de terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211470
11/05/2021 , Garimpeiros atiram contra equipe da PF que apurava ataque a yanomamis,https://terrasindigenas.org.br/pt-br/noticia/211459
11/05/2021 ," Escalada da violência, malária e covid ameaçam povo yanomami",https://terrasindigenas.org.br/pt-br/noticia/211461
11/05/2021 , PF e Exército seguem nesta terça,https://terrasindigenas.org.br/pt-br/noticia/211463
11/05/2021 , APIB pede que STF determine a retirada dos invasores da TI Yanomami,https://terrasindigenas.org.br/pt-br/noticia/211471
10/05/2021 , Liderança indígena afirma que confronto com os Yanomami deixou três garimpeiros mortos,https://terrasindigenas.org.br/pt-br/noticia/211466
09/05/2021 ," Mineração ilegal é uma questão multifatorial, diz comandante do Exército na Amazônia",https://terrasindigenas.org.br/pt-br/noticia/211373
25/03/2021 , Garimpo na Terra Yanomami põe em risco indígenas isolados,https://terrasindigenas.org.br/pt-br/noticia/210619
25/03/2021 , Garimpo ignora pandemia e avança 30% na Terra Indígena Yanomami em 2020,https://terrasindigenas.org.br/pt-br/noticia/210623
24/03/2021 , PF encontra cartaz de carnaval e até bingo de revólver em 'minicidade' de garimpo na Terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/210596
29/12/2020 ," 'Miners out, Covid out': threats to indigenous reserve in Brazil grow",https://terrasindigenas.org.br/pt-br/noticia/209696
26/11/2020 ," PF encontra ouro em lixeira durante operação contra garimpo ilegal na Terra Yanomami, em RR",https://terrasindigenas.org.br/pt-br/noticia/209346
19/11/2020 , Casos de covid,https://terrasindigenas.org.br/pt-br/noticia/209244
29/10/2020 ," PF faz operação, mas garimpeiro acusado de matar dois Yanomami continua foragido",https://terrasindigenas.org.br/pt-br/noticia/208947
23/09/2020 ," Coronavírus atinge mais de 700 indígenas Yanomami: 'estamos abandonados', diz liderança de RR",https://terrasindigenas.org.br/pt-br/noticia/208440
15/09/2020 , Corrida do ouro movimenta o mercado de mercúrio em Roraima,https://terrasindigenas.org.br/pt-br/noticia/210054
31/07/2020 ," Garimpo gera problemas sanitários, ambientais e culturais em terras indígenas",https://terrasindigenas.org.br/pt-br/noticia/207632
